Date,"Advertiser ID","Advertiser Name","Campaign ID","Campaign Name","Order ID","Order Name","Creative ID","Creative Name","Creative Preview URL",Impressions,Clicks,"25% Viewed","50% Viewed","75% Viewed","100% Viewed","Media Cost","Data Cost","Client Cost"
2016-05-23,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9260,NAT-OUT-PREROLL-2,https://platform.yashi.com/advertiser/creatives/preview/1c1e5b8aa1b3072654f91245adbc3d4de1efb5b669cae9aa048b6b835fc42c0f,733,1,621,601,575,537,5.4473,1.3446,18.325
2016-05-23,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9259,NAT-OUT-PREROLL-8,https://platform.yashi.com/advertiser/creatives/preview/6cfd9a827655c3cdd16912b14a82f648a74cb7bb87838898243bc40e2770cc97,725,0,625,609,576,539,5.2159,1.3696,18.125
2016-05-23,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9257,NAT-OUT-PREROLL-2,https://platform.yashi.com/advertiser/creatives/preview/4220568ab9f8ce0b9d78c35be4a06e2a7053c18b073cc17694aaad97b7080a48,734,0,621,613,590,548,5.3597,1.3579,18.35
2016-05-23,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9256,NAT-OUT-PREROLL-4,https://platform.yashi.com/advertiser/creatives/preview/f1d02cf8af15147f038dbaa6020b583f4c9db30e4471aa62ef83405b8504c4ca,685,1,588,549,526,496,4.9840,1.2557,17.125
2016-05-23,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9255,NAT-OUT-PREROLL-1,https://platform.yashi.com/advertiser/creatives/preview/0c350cd3f9d2e4712ffb46a6247f4f472cbd6240490ad3d56d3ca485d3a8fc98,721,1,599,588,560,527,5.3458,1.3415,18.025
2016-05-23,9571,"America First Credit Union-KLAS",3664,"May-July 2016",6198,"May-July 2016-Mobile",9055,"American First Credit Union",https://platform.yashi.com/advertiser/creatives/preview/458890ac6792463e9c854e53fdbb97a12694055d1bf9f4ce916f32aa04b66ee0,1678,12,1128,991,886,767,11.3421,0.0000,41.95
2016-05-23,9571,"America First Credit Union-KLAS",3664,"May-July 2016",6199,"May-July 2016-Desktop",9056,"American First Credit Union",https://platform.yashi.com/advertiser/creatives/preview/9857d728f79299c54c28e590233632568c16a88601ade1603b5bf21039d0e546,1677,7,1509,1467,1399,439,13.2932,0.0000,41.925
2016-05-23,9567,"Henderson Hyundai-KLAS",3655,"Henderson Hyundai-KLAS-Video-May-July16",6190,"Henderson Hyundai-KLAS-Video-May-July16",9039,"HH_ElantraThon REVISED_HD",https://platform.yashi.com/advertiser/creatives/preview/3f6f50d97c02058a38cd761c2c332fb070bf4be147d9f5044f7165047e38e921,1316,1,1117,1028,945,810,10.2933,1.6786,32.9
2016-05-23,9566,"Chapman Dodge Chrysler Jeep Ram-KLAS",3652,"Chapman Dodge Chrysler Jeep Ram-KLAS-Video-May-July16",6188,"Chapman Dodge Chrysler Jeep Ram-KLAS-Video-May-July16",9142,"Champion Dodge Yes You May 5000 5.10.16",https://platform.yashi.com/advertiser/creatives/preview/4a5307f0c6810e7c6d5091c01009cff256f66a628ca3f6fa7e8a7b0bcfdf9e8f,3514,0,3064,3021,2863,2686,26.5174,4.2367,87.85
2016-05-23,9563,"Rolladen Rolling Shutters-KLAS",3651,"Rolladen Rolling Shutters-KLAS-Video-May-July16",6187,"Rolladen Rolling Shutters-KLAS-Video-May-July16",9036,"Rolladen - Fire Sense Control HD(1)",https://platform.yashi.com/advertiser/creatives/preview/ee77d33bf788118afa532fa61647295ff6782554da0b361deab7749c50020ad9,3414,2,2986,2709,2469,2141,26.1841,4.4705,85.35
2016-05-23,9447,"Findlay Chevrolet-KLAS",3390,April-June2016,5790,"May 2016",9025,findlay_may2016_2_h264,https://platform.yashi.com/advertiser/creatives/preview/df240fee292eb25aa0c75f02677c07ddf7ae1c3548c279b8ba4b8088f1c06edf,110920,243,82982,80792,76872,70982,983.7351,0.0742,2773
2016-05-23,9447,"Findlay Chevrolet-KLAS",3390,April-June2016,6311,"May 2016_Mobile",9291,"Findlay Chevrolet-KLAS",https://platform.yashi.com/advertiser/creatives/preview/0277e90f615662777e5826f425719936f9ebce450b902ca29c60e26397c9916a,16078,28,11253,10605,10103,9202,156.6180,0.0000,0
2016-05-23,9455,"Glidewell Distribution-KNWA",3414,"April 11-July 11 2016",5827,"April-July Mobile",8484,"Glidewell Distribution Video 4.11.16",https://platform.yashi.com/advertiser/creatives/preview/bd60a5119ecddbd2a491d1072d96c313ff9b1adf0bb46de5c313709d67b99164,1532,4,885,810,757,701,14.6661,0.0000,38.3
2016-05-23,9455,"Glidewell Distribution-KNWA",3414,"April 11-July 11 2016",5825,"April-July Desktop",8483,"Glidewell Distribution Video 4.11.16",https://platform.yashi.com/advertiser/creatives/preview/e9345b0d9db8a2e400569f98f401da60761b3c0d079804b27c7cd58b9b3eafa0,2166,0,2001,2011,1957,1829,16.1234,4.4945,54.15
2016-05-23,9624,"Sioux Center Health-KCAU",3762,"Sioux Center Health-KCAU-Video-May16-Apr17",6367,"Sioux Center Health-KCAU-Video-May16-Apr17",9391,"Sioux Center Health 09-SCH-6015 Continuum of Care revised",https://platform.yashi.com/advertiser/creatives/preview/6f28431e30283aec07adf7051caef2bb2389a28ba6b7cacf1c9172f8e034e42c,418,1,346,341,311,296,3.1192,0.5295,20.9
2016-05-23,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9379,"amarillo email 5.19.16",https://platform.yashi.com/advertiser/creatives/preview/1edc4b60a36122ca1f6f238cea3ad22355868ab8e377c61c4207f9ba9390ebed,80,0,67,60,59,44,0.6097,0.0000,0
2016-05-23,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9378,"amarillo Starlight ",https://platform.yashi.com/advertiser/creatives/preview/4b87fd8503c0fb3cec975d17cfa2161cc4054af69276ec6bd3b924b81d92af91,76,1,62,56,52,44,0.6251,0.0000,0
2016-05-23,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9377,"amarillo Lifeguard ",https://platform.yashi.com/advertiser/creatives/preview/4b8accf1057e32e38a4469190930edf869ba0c4113fa8d81388811979ce7f5c5,81,0,70,63,57,56,0.6707,0.0000,0
2016-05-23,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9376,"Amarillo Summer Lunch 30",https://platform.yashi.com/advertiser/creatives/preview/aaf7b291985c45cac0f72ef3fe79bfcf5e7bb583f06f59cce3d378a4d292401a,56,0,47,43,39,28,0.4388,0.0000,0
2016-05-23,9608,"Maddie's Motor Sports-WROC",3728,"Maddies Motorsports_May-Dec16",6300,Maddies_MobileVideo_May-Dec2016,9278,"Maddies MadMax Web 5.16.16",https://platform.yashi.com/advertiser/creatives/preview/7f83b705b452983b97084691e5df19c14bf7493924840ae9e925fdb2cee908fd,1370,7,994,908,808,676,8.8411,0.0000,27.4
2016-05-23,9608,"Maddie's Motor Sports-WROC",3728,"Maddies Motorsports_May-Dec16",6301,Maddies_DesktopVideo_May-Dec16,9279,"Maddies MadMax Web 5.16.16",https://platform.yashi.com/advertiser/creatives/preview/d31d9e7bebc625af352addb89348fae627f771895f3d82c2ceafbf71c124fc4e,1660,0,1491,1474,1377,1172,12.0460,3.1406,33.2
2016-05-23,9618,"Access 2 mobility-KETK",3753,"Access 2 mobility-KETK-Video-May-Oct16",6355,"Access 2 mobility-KETK-Video-May-Oct16-Mobile",9363,Access2Mobility_TruckAccess,https://platform.yashi.com/advertiser/creatives/preview/54614a6b12844c26c87ba7edcf5148284af82e161d7bf8bc4efad634831f067d,2922,15,2001,1755,1595,1343,18.8265,0.0000,0
2016-05-23,9618,"Access 2 mobility-KETK",3753,"Access 2 mobility-KETK-Video-May-Oct16",6353,"Access 2 mobility-KETK-Video-May-Oct16",9361,Access2Mobility_TruckAccess,https://platform.yashi.com/advertiser/creatives/preview/7fa74c4def85c7102892ac5fab32d1a1ac2f6a1bd5983a6eb88c77f949a4d092,490,0,423,375,342,293,3.6527,0.5823,0
2016-05-23,9609,"Regalia Manufacturing Company-WHBF",3732,"Regalia Manufacturing_May-Dec2016",6304,Regalia_Mobile_May-Aug2016,9282,"Regalia Manufacturing Company-WHBF",https://platform.yashi.com/advertiser/creatives/preview/f18bc46b456a3670bf3cfe96a013af31a96a2a1121b664c19e48da26f7efb27e,117,1,90,83,80,71,0.8157,0.0000,4.68
2016-05-23,9609,"Regalia Manufacturing Company-WHBF",3732,"Regalia Manufacturing_May-Dec2016",6305,Regalia_Desktop_May-Aug2016,9283,"Regalia Manufacturing Company-WHBF",https://platform.yashi.com/advertiser/creatives/preview/fdfc3c0377d21b321d1b0152bb0cd9dadfcba758efc032d3b7335b3b12b51432,302,2,253,247,229,210,2.4440,0.0000,12.08
2016-05-23,9600,"The Luggage Shop-KLBK",3705,May16-April2017,6261,"Mobile ",9220,"The Luggage Shop-KLBK",https://platform.yashi.com/advertiser/creatives/preview/abf727eed28459cf6b7e4723c2dc360aa9a7b02f8098019b6ff53e7a7ee433b1,842,5,606,554,501,433,5.7974,0.0000,21.05
2016-05-23,9600,"The Luggage Shop-KLBK",3705,May16-April2017,6262,"Desktop Display",9221,"The Luggage Shop-KLBK",https://platform.yashi.com/advertiser/creatives/preview/57007679efd6e42205e2a8840618ec420500e74a29fb17358f02d21b5b37b586,575,0,482,464,444,407,4.5497,0.8711,14.375
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5987,"Roberts Communication-Residential-WROC-Video-FingerLakes-Apr-June16",8765,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/5bb9a947875dad2ce561a7afd1eb8862dc37d7ef36cac948ec1e5f19f8816b03,174,0,143,147,144,132,1.3467,0.3113,3.48
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5982,"Roberts Communication-Residential-WROC-Video-Binghamton-Apr-June16",8755,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/a5d01e60ee4b3a9db32f9c9076de565d7e85e32fb64c5ace760deedacf076965,140,0,123,119,116,93,1.0160,0.2449,2.8
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5985,"Roberts Communication-Residential-WROC-Video-Westchester-Apr-June16",8761,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/5fe32334f047e8afda9840611ff05a5eef3c405a46ff784763904b0dc4aa73c8,311,0,278,278,268,236,2.3349,0.5741,6.22
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5983,"Roberts Communication-Residential-WROC-Video-Elmira-Apr-June16",8757,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/3ce190a7e05cdd61215984a6e4b6cabd3e1c53587c1655e0cccfe6dda42cbb9e,135,1,112,114,107,97,0.9673,0.0000,2.7
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5981,"Roberts Communication-Residential-WROC-Video-Rochester-Apr-June16",8754,RGE_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/edbd5e6b5aae3f6c6d5b21f02ecc7305c9a4850dd448a9bc0f7b6a63875e7b44,476,1,421,419,395,343,3.5196,0.8493,9.52
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5986,"Roberts Communication-Residential-WROC-Video-Plattsburgh-Apr-June16",8763,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/494325274b415c83b39fa4493f53f9b42d22705e5717313ec2e9eedf6d5d5b82,518,0,463,453,428,374,3.8555,0.9032,10.36
2016-05-23,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5984,"Roberts Communication-Residential-WROC-Video-Sullivan-Apr-June16",8759,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/2528bb5a80cba77fe0c3a656955664fab3a07bcc89103abfe26e9a5574f7c6d7,26,0,22,20,12,12,0.2013,0.0479,0.52
